"shapeid","x","y"
"1","656.697435897","-51.1538461538"
"1","667.902174359","-102.088071795"
"1","642.483487179","-152.925446154"
"1","606.171076923","-203.762820513"
"1","562.596184615","-254.600194872"
"1","522.652533333","-314.515671795"
"1","480.893261538","-372.615528205"
"1","451.843333333","-423.452902564"
"1","440.949610256","-490.630861538"
"1","502.680707692","-510.602687179"
"1","576.476130105","-508.882627264"
"1","610.925139549","-524.482632669"
"1","593.318392437","-560.150024312"
"1","544.439979487","-605.014953846"
"1","553.518082051","-679.455394872"
"1","553.518082051","-743.002112821"
"1","495.571366542","-709.905323687"
"1","432.746550297","-687.680356231"
"1","370.140410256","-715.767805128"
"1","342.906102564","-781.13014359"
"1","328.927997866","-839.689422701"
"1","304.758974359","-911.902564103"
"1","261.107692308","-937.820512821"
"1","229.733333333","-903.717948718"
"1","228.369230769","-846.425641026"
"1","218.820512821","-789.133333333"
"1","199.723076923","-725.020512821"
"1","157.435897436","-674.548717949"
"1","97.0498785462","-645.969460192"
"1","67.7706342743","-608.938002694"
"1","115.148717949","-606.343589744"
"1","179.127746283","-606.775991902"
"1","247.466666667","-599.523076923"
"1","272.020512821","-561.328205128"
"1","259.743589744","-516.312820513"
"1","195.630769231","-491.758974359"
"1","142.631457498","-478.483454787"
"1","114.217017543","-455.293711197"
"1","149.251282051","-450.835897436"
"1","173.805128205","-450.835897436"
"1","216.092307692","-453.564102564"
"1","205.179487179","-435.830769231"
"1","166.984615385","-394.907692308"
"1","164.256410256","-348.528205128"
"1","211.500701753","-351.189514167"
"1","261.107692308","-383.994871795"
"1","280.205128205","-382.630769231"
"1","329.312820513","-353.984615385"
"1","370.235897436","-304.876923077"
"1","405.702564103","-257.133333333"
"1","450.717948718","-202.569230769"
"1","493.005128205","-156.18974359"
"1","543.476923077","-90.7128205128"
"1","596.676923077","-57.9743589744"
"1","656.697435897","-51.1538461538"
